date,start_datetime,id,name,type,indoor,distance_km,avg_speed_kph,moving_seconds,elapsed_seconds,elevation_m,avg_power,normalized_power,avg_hr,max_hr,avg_cadence,intensity_pct,variability_index,decoupling_pct,efficiency_factor,tss,calories,work_kj,rpe,feel
2026-07-27,2026-07-27T20:56:34,i171616201,Ride,Ride,False,60.68,26.53,8286,12795,194.0,115.0,148.0,160.0,185.0,83.5,82.2,1.287,11.44,0.925,156.0,976,,,
2026-07-22,2026-07-22T21:18:04,i171616210,Ride,Ride,False,32.47,23.55,4873,8277,159.0,112.0,160.0,157.0,186.0,80.9,88.9,1.429,13.35,1.019,107.0,560,,,
2026-07-15,2026-07-15T22:49:09,i171616217,Ride,Ride,False,40.97,25.19,5866,7074,102.0,121.0,145.0,156.0,188.0,85.8,80.6,1.198,14.04,0.929,106.0,712,,,
2026-07-03,2026-07-03T22:09:56,i171616222,Ride,Ride,False,17.5,22.94,2742,2839,50.0,111.0,146.0,151.0,180.0,77.5,81.1,1.315,2.05,0.967,50.0,306,,,
2026-06-30,2026-06-30T20:49:40,i171616230,Ride,Ride,False,35.32,24.95,5097,6233,56.0,117.0,137.0,155.0,180.0,82.0,76.1,1.171,23.49,0.884,82.0,599,,,
2026-06-26,2026-06-26T21:52:25,i171616236,Ride,Ride,False,33.33,24.36,4993,6704,158.0,118.0,140.0,158.0,185.0,82.5,77.8,1.186,15.06,0.886,84.0,590,,,
2026-06-25,2026-06-25T00:25:42,i171616240,자전거 타기,Ride,False,22.66,23.04,3552,3614,39.0,95.0,116.0,140.0,167.0,84.5,64.4,1.221,8.27,0.829,41.0,338,,,
2026-06-12,2026-06-12T23:15:03,i171616243,자전거 타기,Ride,False,30.55,26.08,4221,4307,36.0,113.0,122.0,157.0,180.0,88.3,67.8,1.08,6.1,0.777,54.0,479,,,
2026-06-06,2026-06-06T21:17:03,i171616253,자전거 타기,Ride,False,9.15,25.83,1277,1854,5.0,117.0,144.0,162.0,187.0,77.9,80.0,1.231,10.37,0.889,23.0,152,,,
2026-05-01,2026-05-01T21:33:48,i171616259,자전거 타기,Ride,False,1.73,17.33,374,801,7.0,86.0,122.0,,,59.5,67.8,1.419,,,5.0,32,,,
2026-04-14,2026-04-14T23:21:55,i171616266,자전거 타기,Ride,False,34.74,22.1,5673,7067,124.0,102.0,119.0,143.0,169.0,79.9,66.1,1.167,14.97,0.832,69.0,582,,,
2026-04-07,2026-04-07T23:12:29,i171616272,자전거 타기,Ride,False,20.02,20.27,3525,4339,10.0,88.0,114.0,140.0,170.0,76.4,63.3,1.295,-41.38,0.814,39.0,320,,,
2026-04-07,2026-04-07T02:06:56,i171641720,재활 day 9,VirtualRide,True,17.95,25.44,2514,3003,28.0,88.0,96.0,131.0,151.0,80.2,53.3,1.091,-0.45,0.733,20.0,212,,,
2026-04-04,2026-04-04T02:47:24,i171641724,재활 day 7?,VirtualRide,True,15.53,22.91,2416,2744,26.0,71.0,79.0,125.0,148.0,82.0,43.9,1.113,12.22,0.632,13.0,164,,,
2026-03-25,2026-03-25T00:36:50,i171641731,재활 day6,VirtualRide,True,12.44,24.4,1829,1838,20.0,69.0,72.0,119.0,128.0,78.2,40.0,1.043,10.83,0.605,8.0,121,,,
2026-03-23,2026-03-23T01:44:38,i171641738,재활 day 5,VirtualRide,True,17.75,25.66,2475,2561,28.0,82.0,88.0,129.0,146.0,83.1,48.9,1.073,2.44,0.682,16.0,196,,,
2026-03-21,2026-03-21T01:08:00,i171641745,Zwift - Tempus Fugit in Watopia,VirtualRide,True,17.96,26.44,2442,2444,28.0,87.0,91.0,130.0,148.0,83.2,50.6,1.046,18.08,0.7,17.0,202,,,
2026-03-20,2026-03-20T00:53:07,i171641758,Zwift - Tempus Fugit in Watopia,VirtualRide,True,17.06,25.26,2427,2429,27.0,76.0,78.0,132.0,142.0,0.0,43.3,1.026,10.52,0.591,13.0,177,,,
2026-03-19,2026-03-19T02:10:38,i171641764,Zwift - Day 1,VirtualRide,True,21.38,25.48,3014,3134,85.0,92.0,96.0,136.0,150.0,78.3,53.3,1.043,6.63,0.706,24.0,272,,,
2024-04-04,2024-04-04T01:43:45,i171667463,Early morning Virtual Ride,VirtualRide,True,28.83,28.68,3615,3617,112.0,112.0,115.0,147.0,162.0,87.6,63.9,1.027,2.26,0.782,41.0,385,,,
2024-04-03,2024-04-03T00:49:10,i171668504,Early morning Virtual Ride,VirtualRide,True,27.28,27.94,3512,3514,104.0,106.0,115.0,139.0,153.0,86.8,63.9,1.085,7.98,0.827,40.0,356,,,
2024-03-28,2024-03-28T00:10:23,i171661672,Early morning Virtual Ride,VirtualRide,True,22.12,24.26,3043,3281,125.0,100.0,105.0,147.0,161.0,82.3,58.3,1.05,5.2,0.714,29.0,292,,,
2024-03-27,2024-03-27T00:19:25,i171667125,Early morning Virtual Ride,VirtualRide,True,23.85,26.01,3259,3299,203.0,121.0,134.0,165.0,184.0,85.4,74.4,1.107,9.92,0.812,50.0,382,,,
2023-06-07,2023-06-07T20:17:54,i171668222,Night Ride,Ride,False,33.47,24.47,4929,12570,165.0,116.0,146.0,157.0,186.0,78.2,81.1,1.259,12.38,0.93,90.0,686,,,
2023-01-23,2023-01-23T14:31:04,i171661373,Afternoon Ride,Ride,False,56.52,24.89,8177,9028,254.0,134.0,163.0,154.0,179.0,78.6,90.6,1.216,4.8,1.058,186.0,1296,,,
2023-01-10,2023-01-10T12:38:10,i171666787,Lunch Ride,Ride,False,45.66,23.48,7013,16113,158.0,120.0,161.0,153.0,188.0,70.3,89.4,1.342,-12.39,1.052,156.0,1057,,,
2022-12-21,2022-12-21T01:43:41,i171667883,Early morning Virtual Ride,VirtualRide,True,24.28,26.77,3262,3264,211.0,126.0,136.0,143.0,163.0,85.5,75.6,1.079,10.0,0.951,52.0,393,,,
2022-12-20,2022-12-20T00:23:20,i171660309,Early morning Virtual Ride,VirtualRide,True,27.09,30.4,3203,3206,149.0,135.0,141.0,153.0,165.0,83.7,78.3,1.044,5.69,0.922,55.0,413,,,
2022-12-19,2022-12-19T23:26:25,i171666388,Night Virtual Ride,VirtualRide,True,11.07,31.41,1257,1267,63.0,148.0,187.0,157.0,187.0,87.8,103.9,1.264,-2.49,1.191,38.0,179,,,
2022-10-23,2022-10-23T09:37:50,i171667569,Morning Ride,Ride,False,68.01,21.92,11178,20680,868.0,111.0,159.0,149.0,188.0,71.9,88.3,1.432,0.28,1.067,242.0,1547,,,
2022-10-23,2022-10-23T04:39:40,i171668593,Early morning Ride,Ride,False,7.43,22.88,1168,1307,89.0,132.0,171.0,,,72.3,95.0,1.295,,,29.0,180,,,
2022-10-21,2022-10-21T22:01:37,i171662195,Night Virtual Ride,VirtualRide,True,20.51,26.4,2662,2795,59.0,105.0,119.0,138.0,158.0,78.9,66.1,1.133,15.11,0.862,32.0,272,,,
2022-10-15,2022-10-15T18:45:42,i171667230,Evening Ride,Ride,False,47.84,20.19,8537,14020,738.0,124.0,170.0,153.0,185.0,74.7,94.4,1.371,22.07,1.111,212.0,1290,,,
2022-10-11,2022-10-11T08:59:35,i171668304,Morning Ride,Ride,False,32.23,19.85,5856,13556,451.0,114.0,168.0,148.0,186.0,72.7,93.3,1.474,42.58,1.135,142.0,817,,,
2022-10-07,2022-10-07T11:22:34,i171661461,Lunch Ride,Ride,False,50.55,22.26,8187,13661,416.0,116.0,151.0,152.0,188.0,75.9,83.9,1.302,12.66,0.993,160.0,1165,,,
2022-10-05,2022-10-05T09:37:10,i171666911,Morning Ride,Ride,False,63.14,24.34,9002,19906,104.0,109.0,148.0,150.0,188.0,77.0,82.2,1.358,14.33,0.987,169.0,1278,,,
2022-09-26,2022-09-26T16:00:18,i171667977,Afternoon Ride,Ride,False,7.17,15.16,1706,3054,44.0,59.0,86.0,,,66.2,47.8,1.458,,,11.0,150,,,
2022-09-25,2022-09-25T13:42:47,i171660400,Lunch Ride,Ride,False,4.16,24.32,615,777,11.0,104.0,122.0,,,74.3,67.8,1.173,,,8.0,78,,,
2022-09-24,2022-09-24T12:14:04,i171666512,Lunch Ride,Ride,False,41.79,21.93,6873,12570,187.0,101.0,148.0,149.0,188.0,71.7,82.2,1.465,18.65,0.993,129.0,881,,,
2022-09-22,2022-09-22T19:55:04,i171667657,Evening Ride,Ride,False,33.28,21.45,5590,10437,384.0,122.0,166.0,156.0,188.0,75.0,92.2,1.361,10.73,1.064,132.0,837,,,
2022-09-13,2022-09-13T19:53:54,i171668707,Evening Ride,Ride,False,47.99,23.32,7415,13827,379.0,105.0,139.0,155.0,183.0,73.2,77.2,1.324,7.31,0.897,123.0,996,,,
2022-09-13,2022-09-13T08:36:40,i171662280,Morning Ride,Ride,False,32.2,19.95,5817,10208,408.0,108.0,158.0,157.0,188.0,69.4,87.8,1.463,34.5,1.006,124.0,785,,,
2022-09-03,2022-09-03T08:00:34,i171667347,Morning Ride,Ride,False,48.46,24.7,7069,12601,196.0,117.0,154.0,162.0,188.0,75.5,85.6,1.316,5.87,0.951,144.0,1020,,,
2022-09-01,2022-09-01T20:50:18,i171668389,Night Ride,Ride,False,41.39,24.04,6188,7738,169.0,116.0,151.0,153.0,183.0,74.5,83.9,1.302,17.81,0.987,121.0,875,,,
2022-05-17,2022-05-17T22:03:42,i171616279,사이클링,Ride,False,11.52,21.03,1946,2117,44.0,89.0,119.0,123.0,151.0,67.9,66.1,1.337,-0.6,0.967,24.0,182,,,
2022-05-11,2022-05-11T21:18:46,i171616288,사이클링,Ride,False,40.43,23.23,6149,8693,114.0,96.0,129.0,124.0,156.0,70.1,71.7,1.344,9.39,1.04,88.0,610,,,
2022-05-05,2022-05-05T13:34:33,i171616297,사이클링,Ride,False,93.65,23.79,14005,27694,46.0,98.0,128.0,131.0,171.0,68.5,71.1,1.306,9.08,0.977,197.0,1418,,,
2022-05-04,2022-05-04T20:21:28,i171616300,사이클링,Ride,False,48.52,26.04,6634,10532,335.0,155.0,203.0,160.0,185.0,75.7,112.8,1.31,-17.95,1.269,234.0,1046,,,
2022-04-30,2022-04-30T08:11:36,i171616311,사이클링,Ride,False,93.47,24.98,13402,15980,1624.0,154.0,184.0,153.0,178.0,76.2,102.2,1.195,3.68,1.203,389.0,2100,,,
2022-04-27,2022-04-27T08:38:24,i171616316,기타,VirtualRide,True,0.0,0.0,424,424,0.0,,,78.0,97.0,,,,,,1.0,23,,,
2022-04-26,2022-04-26T19:59:29,i171616323,기타,Ride,False,22.94,18.51,4425,7893,700.0,158.0,207.0,159.0,186.0,71.1,115.0,1.31,5.14,1.302,163.0,703,,,
2022-04-24,2022-04-24T20:08:13,i171616329,사이클링,Ride,False,40.2,26.31,5432,9024,164.0,152.0,187.0,155.0,178.0,76.8,103.9,1.23,-4.17,1.206,163.0,850,,,
2022-04-23,2022-04-23T19:40:50,i171616334,사이클링,Ride,False,34.47,16.97,7293,8110,1040.0,122.0,166.0,147.0,184.0,66.5,92.2,1.361,-2.88,1.129,172.0,890,,,
2022-04-22,2022-04-22T19:50:49,i171616345,사이클링,Ride,False,32.13,19.48,5728,10511,370.0,102.0,176.0,140.0,181.0,68.8,97.8,1.725,23.19,1.257,152.0,641,,,
2022-04-17,2022-04-17T08:34:32,i171616353,사이클링,Ride,False,101.33,24.56,14726,23214,426.0,108.0,149.0,144.0,188.0,72.7,82.8,1.38,-4.04,1.035,280.0,1633,,,
2022-04-16,2022-04-16T11:57:32,i171616357,사이클링,Ride,False,85.38,23.12,13173,29216,656.0,127.0,177.0,153.0,188.0,72.8,98.3,1.394,9.41,1.157,354.0,1729,,,
2022-04-12,2022-04-12T19:55:16,i171616358,사이클링,Ride,False,0.66,8.47,275,530,8.0,45.0,80.0,,,42.4,44.4,1.778,,,2.0,13,,,
2022-04-11,2022-04-11T19:44:42,i171616363,사이클링,Ride,False,30.82,20.21,5429,10278,384.0,115.0,173.0,140.0,182.0,67.4,96.1,1.504,14.13,1.236,139.0,651,,,
2022-04-10,2022-04-10T15:21:03,i171616367,사이클링,Ride,False,61.62,25.77,8555,11003,111.0,138.0,182.0,154.0,181.0,70.7,101.1,1.319,-16.35,1.182,243.0,1184,,,
2022-04-09,2022-04-09T12:49:43,i171616369,사이클링,Ride,False,12.12,22.03,1902,7723,33.0,98.0,188.0,135.0,174.0,66.6,104.4,1.918,-3535.79,1.393,58.0,204,,,
2022-04-08,2022-04-08T19:32:36,i171616381,사이클링,Ride,False,4.71,18.65,868,16499,21.0,96.0,143.0,,,61.9,79.4,1.49,,,15.0,89,,,
2022-04-04,2022-04-04T19:53:12,i171616387,사이클링,Ride,False,13.47,17.83,2707,3902,413.0,140.0,193.0,161.0,188.0,70.0,107.2,1.379,-21.8,1.199,86.0,379,,,
2022-03-20,2022-03-20T08:09:31,i171642410,사이클링,Ride,False,116.11,24.3,17179,30473,295.0,123.0,156.0,140.0,176.0,72.4,86.7,1.268,18.78,1.114,358.0,2131,,,
